layer_name,geometry_type,feature_count,extent_min_x,extent_max_x,extent_min_y,extent_max_y,srs_name,fields
桥,Multi Line String,6,-4127.412099998444,11261.943999998499,3658113.5517999995,3661769.1289000004,Asia_North_Albers_WGS84_LY,桥；Shape_Length
城门,Multi Point,26,-5370.9096000008285,1433.8275999985635,3654595.3574,3662177.2490999997,Asia_North_Albers_WGS84_LY,城门；类型
市,Multi Polygon,3,-5337.408100001514,-533.5634000003338,3654620.6255,3661123.4143000003,Asia_North_Albers_WGS84_LY,里坊；Shape_Length；Shape_Area
里坊,Multi Polygon,109,-5867.5764999985695,1441.738300001091,3654576.1681000004,3662330.6371999998,Asia_North_Albers_WGS84_LY,里坊；Shape_Length；Shape_Area
太微城_内城,Multi Polygon,5,-5447.629500001669,-2498.2404000014067,3658906.598,3661891.0950999996,Asia_North_Albers_WGS84_LY,宫_城；Shape_Length；Shape_Area
外郭城墙,Multi Line String,2,-5906.382699999958,1507.742499999702,3654497.6827,3662398.9798999997,Asia_North_Albers_WGS84_LY,Id；Shape_Length
紫薇城,Multi Polygon,6,-5385.200800001621,-3098.5203999988735,3659495.5425000004,3661109.455,Asia_North_Albers_WGS84_LY,宫_城；Shape_Length；Shape_Area
上阳宫,Multi Polygon,16,-9355.723200000823,-4802.7357000000775,3657342.1950000003,3660602.7888,Asia_North_Albers_WGS84_LY,殿；Shape_Length；Shape_Area
上阳宫门,Multi Point,7,-9274.216400001198,-5699.491599999368,3657529.0648,3660556.5476,Asia_North_Albers_WGS84_LY,Id；门
上阳宫城墙,Multi Line String,1,-9355.723200000823,-4778.998500000685,3657342.1950000003,3660640.5207,Asia_North_Albers_WGS84_LY,Id；Shape_Length
离宫,3D Multi Polygon,56,-20918.652199998498,-3763.3532999984263,3648739.4685000004,3665313.0867000003,Asia_North_Albers_WGS84_LY,Shape_Length；Shape_Area；名称；类型
苑墙,3D Multi Line String,1,-21803.18299999833,-3322.324999998331,3648256.1436,3665597.1468000007,Asia_North_Albers_WGS84_LY,Shape_Length
苑门,3D Point,12,-21697.26649999991,-3471.3194999992847,3648286.5691,3665509.9285000004,Asia_North_Albers_WGS84_LY,
